warehouse,name,aisle,x,y,z,length,width,height,pickSequence,putawaySequence,countSequence,capacity,fillPercentage,locationGroup,enabled
WMOR,EA-111-032,111,,,,32,20,20,11100031,11100031,11100031,12800,100,EACH_PICK,true
WMOR,EA-111-033,111,,,,32,20,20,11100032,11100032,11100032,12800,100,EACH_PICK,true
WMOR,EA-111-034,111,,,,32,20,20,11100033,11100033,11100033,12800,100,EACH_PICK,true
WMOR,EA-111-035,111,,,,32,20,20,11100034,11100034,11100034,12800,100,EACH_PICK,true
WMOR,EA-111-036,111,,,,32,20,20,11100035,11100035,11100035,12800,100,EACH_PICK,true
WMOR,EA-111-037,111,,,,32,20,20,11100036,11100036,11100036,12800,100,EACH_PICK,true
WMOR,EA-111-038,111,,,,32,20,20,11100037,11100037,11100037,12800,100,EACH_PICK,true
WMOR,EA-111-039,111,,,,32,20,20,11100038,11100038,11100038,12800,100,EACH_PICK,true
WMOR,EA-111-040,111,,,,32,20,20,11100039,11100039,11100039,12800,100,EACH_PICK,true
WMOR,EA-111-041,111,,,,32,20,20,11100040,11100040,11100040,12800,100,EACH_PICK,true
WMOR,EA-111-042,111,,,,32,20,20,11100041,11100041,11100041,12800,100,EACH_PICK,true
WMOR,EA-111-043,111,,,,32,20,20,11100042,11100042,11100042,12800,100,EACH_PICK,true
WMOR,EA-111-044,111,,,,32,20,20,11100043,11100043,11100043,12800,100,EACH_PICK,true
WMOR,EA-111-045,111,,,,32,20,20,11100044,11100044,11100044,12800,100,EACH_PICK,true
WMOR,EA-111-046,111,,,,32,20,20,11100045,11100045,11100045,12800,100,EACH_PICK,true
WMOR,EA-111-047,111,,,,32,20,20,11100046,11100046,11100046,12800,100,EACH_PICK,true
WMOR,EA-111-048,111,,,,32,20,20,11100047,11100047,11100047,12800,100,EACH_PICK,true
WMOR,EA-111-049,111,,,,32,20,20,11100048,11100048,11100048,12800,100,EACH_PICK,true
WMOR,EA-111-050,111,,,,32,20,20,11100049,11100049,11100049,12800,100,EACH_PICK,true
WMOR,CS-111-001,111,,,,64,48,48,11101000,11101000,11101000,147456,100,CASE_PICK,true
WMOR,CS-111-002,111,,,,64,48,48,11101001,11101001,11101001,147456,100,CASE_PICK,true
WMOR,CS-111-003,111,,,,64,48,48,11101002,11101002,11101002,147456,100,CASE_PICK,true
WMOR,CS-111-004,111,,,,64,48,48,11101003,11101003,11101003,147456,100,CASE_PICK,true
WMOR,CS-111-005,111,,,,64,48,48,11101004,11101004,11101004,147456,100,CASE_PICK,true
WMOR,CS-111-006,111,,,,64,48,48,11101005,11101005,11101005,147456,100,CASE_PICK,true
WMOR,CS-111-007,111,,,,64,48,48,11101006,11101006,11101006,147456,100,CASE_PICK,true
WMOR,CS-111-008,111,,,,64,48,48,11101007,11101007,11101007,147456,100,CASE_PICK,true
WMOR,CS-111-009,111,,,,64,48,48,11101008,11101008,11101008,147456,100,CASE_PICK,true
WMOR,CS-111-010,111,,,,64,48,48,11101009,11101009,11101009,147456,100,CASE_PICK,true
WMOR,CS-111-011,111,,,,64,48,48,11101010,11101010,11101010,147456,100,CASE_PICK,true
WMOR,CS-111-012,111,,,,64,48,48,11101011,11101011,11101011,147456,100,CASE_PICK,true
WMOR,CS-111-013,111,,,,64,48,48,11101012,11101012,11101012,147456,100,CASE_PICK,true
WMOR,CS-111-014,111,,,,64,48,48,11101013,11101013,11101013,147456,100,CASE_PICK,true
WMOR,CS-111-015,111,,,,64,48,48,11101014,11101014,11101014,147456,100,CASE_PICK,true
WMOR,CS-111-016,111,,,,64,48,48,11101015,11101015,11101015,147456,100,CASE_PICK,true
WMOR,CS-111-017,111,,,,64,48,48,11101016,11101016,11101016,147456,100,CASE_PICK,true
WMOR,CS-111-018,111,,,,64,48,48,11101017,11101017,11101017,147456,100,CASE_PICK,true
WMOR,CS-111-019,111,,,,64,48,48,11101018,11101018,11101018,147456,100,CASE_PICK,true
WMOR,CS-111-020,111,,,,64,48,48,11101019,11101019,11101019,147456,100,CASE_PICK,true
WMOR,CS-111-021,111,,,,64,48,48,11101020,11101020,11101020,147456,100,CASE_PICK,true
WMOR,CS-111-022,111,,,,64,48,48,11101021,11101021,11101021,147456,100,CASE_PICK,true
WMOR,CS-111-023,111,,,,64,48,48,11101022,11101022,11101022,147456,100,CASE_PICK,true
WMOR,CS-111-024,111,,,,64,48,48,11101023,11101023,11101023,147456,100,CASE_PICK,true
WMOR,CS-111-025,111,,,,64,48,48,11101024,11101024,11101024,147456,100,CASE_PICK,true
WMOR,CS-111-026,111,,,,64,48,48,11101025,11101025,11101025,147456,100,CASE_PICK,true
WMOR,CS-111-027,111,,,,64,48,48,11101026,11101026,11101026,147456,100,CASE_PICK,true
WMOR,CS-111-028,111,,,,64,48,48,11101027,11101027,11101027,147456,100,CASE_PICK,true
WMOR,CS-111-029,111,,,,64,48,48,11101028,11101028,11101028,147456,100,CASE_PICK,true
WMOR,CS-111-030,111,,,,64,48,48,11101029,11101029,11101029,147456,100,CASE_PICK,true
WMOR,CS-111-031,111,,,,64,48,48,11101030,11101030,11101030,147456,100,CASE_PICK,true
WMOR,CS-111-032,111,,,,64,48,48,11101031,11101031,11101031,147456,100,CASE_PICK,true
WMOR,CS-111-033,111,,,,64,48,48,11101032,11101032,11101032,147456,100,CASE_PICK,true
WMOR,CS-111-034,111,,,,64,48,48,11101033,11101033,11101033,147456,100,CASE_PICK,true
WMOR,CS-111-035,111,,,,64,48,48,11101034,11101034,11101034,147456,100,CASE_PICK,true
WMOR,CS-111-036,111,,,,64,48,48,11101035,11101035,11101035,147456,100,CASE_PICK,true
WMOR,CS-111-037,111,,,,64,48,48,11101036,11101036,11101036,147456,100,CASE_PICK,true
WMOR,CS-111-038,111,,,,64,48,48,11101037,11101037,11101037,147456,100,CASE_PICK,true
WMOR,CS-111-039,111,,,,64,48,48,11101038,11101038,11101038,147456,100,CASE_PICK,true
WMOR,CS-111-040,111,,,,64,48,48,11101039,11101039,11101039,147456,100,CASE_PICK,true
WMOR,CS-111-041,111,,,,64,48,48,11101040,11101040,11101040,147456,100,CASE_PICK,true
WMOR,CS-111-042,111,,,,64,48,48,11101041,11101041,11101041,147456,100,CASE_PICK,true
WMOR,CS-111-043,111,,,,64,48,48,11101042,11101042,11101042,147456,100,CASE_PICK,true
WMOR,CS-111-044,111,,,,64,48,48,11101043,11101043,11101043,147456,100,CASE_PICK,true
WMOR,CS-111-045,111,,,,64,48,48,11101044,11101044,11101044,147456,100,CASE_PICK,true
WMOR,CS-111-046,111,,,,64,48,48,11101045,11101045,11101045,147456,100,CASE_PICK,true
WMOR,CS-111-047,111,,,,64,48,48,11101046,11101046,11101046,147456,100,CASE_PICK,true
WMOR,CS-111-048,111,,,,64,48,48,11101047,11101047,11101047,147456,100,CASE_PICK,true
WMOR,CS-111-049,111,,,,64,48,48,11101048,11101048,11101048,147456,100,CASE_PICK,true
WMOR,CS-111-050,111,,,,64,48,48,11101049,11101049,11101049,147456,100,CASE_PICK,true
WMOR,PA-111-001,111,,,,64,48,48,11102000,11102000,11102000,147456,100,PALLET_PICK,true
WMOR,PA-111-002,111,,,,64,48,48,11102001,11102001,11102001,147456,100,PALLET_PICK,true
WMOR,PA-111-003,111,,,,64,48,48,11102002,11102002,11102002,147456,100,PALLET_PICK,true
WMOR,PA-111-004,111,,,,64,48,48,11102003,11102003,11102003,147456,100,PALLET_PICK,true
WMOR,PA-111-005,111,,,,64,48,48,11102004,11102004,11102004,147456,100,PALLET_PICK,true
WMOR,PA-111-006,111,,,,64,48,48,11102005,11102005,11102005,147456,100,PALLET_PICK,true
WMOR,PA-111-007,111,,,,64,48,48,11102006,11102006,11102006,147456,100,PALLET_PICK,true
WMOR,PA-111-008,111,,,,64,48,48,11102007,11102007,11102007,147456,100,PALLET_PICK,true
WMOR,PA-111-009,111,,,,64,48,48,11102008,11102008,11102008,147456,100,PALLET_PICK,true
WMOR,PA-111-010,111,,,,64,48,48,11102009,11102009,11102009,147456,100,PALLET_PICK,true
WMOR,PA-111-011,111,,,,64,48,48,11102010,11102010,11102010,147456,100,PALLET_PICK,true
WMOR,PA-111-012,111,,,,64,48,48,11102011,11102011,11102011,147456,100,PALLET_PICK,true
WMOR,PA-111-013,111,,,,64,48,48,11102012,11102012,11102012,147456,100,PALLET_PICK,true
WMOR,PA-111-014,111,,,,64,48,48,11102013,11102013,11102013,147456,100,PALLET_PICK,true
WMOR,PA-111-015,111,,,,64,48,48,11102014,11102014,11102014,147456,100,PALLET_PICK,true
WMOR,PA-111-016,111,,,,64,48,48,11102015,11102015,11102015,147456,100,PALLET_PICK,true
WMOR,PA-111-017,111,,,,64,48,48,11102016,11102016,11102016,147456,100,PALLET_PICK,true
WMOR,PA-111-018,111,,,,64,48,48,11102017,11102017,11102017,147456,100,PALLET_PICK,true
WMOR,PA-111-019,111,,,,64,48,48,11102018,11102018,11102018,147456,100,PALLET_PICK,true
WMOR,PA-111-020,111,,,,64,48,48,11102019,11102019,11102019,147456,100,PALLET_PICK,true
WMOR,PA-111-021,111,,,,64,48,48,11102020,11102020,11102020,147456,100,PALLET_PICK,true
WMOR,PA-111-022,111,,,,64,48,48,11102021,11102021,11102021,147456,100,PALLET_PICK,true
WMOR,PA-111-023,111,,,,64,48,48,11102022,11102022,11102022,147456,100,PALLET_PICK,true
WMOR,PA-111-024,111,,,,64,48,48,11102023,11102023,11102023,147456,100,PALLET_PICK,true
WMOR,PA-111-025,111,,,,64,48,48,11102024,11102024,11102024,147456,100,PALLET_PICK,true
WMOR,EA-113-001,113,,,,32,20,20,11300000,11300000,11300000,12800,100,EACH_PICK,true
WMOR,EA-113-002,113,,,,32,20,20,11300001,11300001,11300001,12800,100,EACH_PICK,true
WMOR,EA-113-003,113,,,,32,20,20,11300002,11300002,11300002,12800,100,EACH_PICK,true
WMOR,EA-113-004,113,,,,32,20,20,11300003,11300003,11300003,12800,100,EACH_PICK,true
WMOR,EA-113-005,113,,,,32,20,20,11300004,11300004,11300004,12800,100,EACH_PICK,true
WMOR,EA-113-006,113,,,,32,20,20,11300005,11300005,11300005,12800,100,EACH_PICK,true
WMOR,EA-113-007,113,,,,32,20,20,11300006,11300006,11300006,12800,100,EACH_PICK,true
WMOR,EA-113-008,113,,,,32,20,20,11300007,11300007,11300007,12800,100,EACH_PICK,true
WMOR,EA-113-009,113,,,,32,20,20,11300008,11300008,11300008,12800,100,EACH_PICK,true
WMOR,EA-113-010,113,,,,32,20,20,11300009,11300009,11300009,12800,100,EACH_PICK,true
WMOR,EA-113-011,113,,,,32,20,20,11300010,11300010,11300010,12800,100,EACH_PICK,true
WMOR,EA-113-012,113,,,,32,20,20,11300011,11300011,11300011,12800,100,EACH_PICK,true
WMOR,EA-113-013,113,,,,32,20,20,11300012,11300012,11300012,12800,100,EACH_PICK,true
WMOR,EA-113-014,113,,,,32,20,20,11300013,11300013,11300013,12800,100,EACH_PICK,true
WMOR,EA-113-015,113,,,,32,20,20,11300014,11300014,11300014,12800,100,EACH_PICK,true
WMOR,EA-113-016,113,,,,32,20,20,11300015,11300015,11300015,12800,100,EACH_PICK,true
WMOR,EA-113-017,113,,,,32,20,20,11300016,11300016,11300016,12800,100,EACH_PICK,true
WMOR,EA-113-018,113,,,,32,20,20,11300017,11300017,11300017,12800,100,EACH_PICK,true
WMOR,EA-113-019,113,,,,32,20,20,11300018,11300018,11300018,12800,100,EACH_PICK,true
WMOR,EA-113-020,113,,,,32,20,20,11300019,11300019,11300019,12800,100,EACH_PICK,true
WMOR,EA-113-021,113,,,,32,20,20,11300020,11300020,11300020,12800,100,EACH_PICK,true
WMOR,EA-113-022,113,,,,32,20,20,11300021,11300021,11300021,12800,100,EACH_PICK,true
WMOR,EA-113-023,113,,,,32,20,20,11300022,11300022,11300022,12800,100,EACH_PICK,true
WMOR,EA-113-024,113,,,,32,20,20,11300023,11300023,11300023,12800,100,EACH_PICK,true
WMOR,EA-113-025,113,,,,32,20,20,11300024,11300024,11300024,12800,100,EACH_PICK,true
WMOR,EA-113-026,113,,,,32,20,20,11300025,11300025,11300025,12800,100,EACH_PICK,true
WMOR,EA-113-027,113,,,,32,20,20,11300026,11300026,11300026,12800,100,EACH_PICK,true
WMOR,EA-113-028,113,,,,32,20,20,11300027,11300027,11300027,12800,100,EACH_PICK,true
WMOR,EA-113-029,113,,,,32,20,20,11300028,11300028,11300028,12800,100,EACH_PICK,true
WMOR,EA-113-030,113,,,,32,20,20,11300029,11300029,11300029,12800,100,EACH_PICK,true
WMOR,EA-113-031,113,,,,32,20,20,11300030,11300030,11300030,12800,100,EACH_PICK,true
WMOR,EA-113-032,113,,,,32,20,20,11300031,11300031,11300031,12800,100,EACH_PICK,true
WMOR,EA-113-033,113,,,,32,20,20,11300032,11300032,11300032,12800,100,EACH_PICK,true
WMOR,EA-113-034,113,,,,32,20,20,11300033,11300033,11300033,12800,100,EACH_PICK,true
WMOR,EA-113-035,113,,,,32,20,20,11300034,11300034,11300034,12800,100,EACH_PICK,true
WMOR,EA-113-036,113,,,,32,20,20,11300035,11300035,11300035,12800,100,EACH_PICK,true
WMOR,EA-113-037,113,,,,32,20,20,11300036,11300036,11300036,12800,100,EACH_PICK,true
WMOR,EA-113-038,113,,,,32,20,20,11300037,11300037,11300037,12800,100,EACH_PICK,true
WMOR,EA-113-039,113,,,,32,20,20,11300038,11300038,11300038,12800,100,EACH_PICK,true
WMOR,EA-113-040,113,,,,32,20,20,11300039,11300039,11300039,12800,100,EACH_PICK,true
WMOR,EA-113-041,113,,,,32,20,20,11300040,11300040,11300040,12800,100,EACH_PICK,true
WMOR,EA-113-042,113,,,,32,20,20,11300041,11300041,11300041,12800,100,EACH_PICK,true
WMOR,EA-113-043,113,,,,32,20,20,11300042,11300042,11300042,12800,100,EACH_PICK,true
WMOR,EA-113-044,113,,,,32,20,20,11300043,11300043,11300043,12800,100,EACH_PICK,true
WMOR,EA-113-045,113,,,,32,20,20,11300044,11300044,11300044,12800,100,EACH_PICK,true
WMOR,EA-113-046,113,,,,32,20,20,11300045,11300045,11300045,12800,100,EACH_PICK,true
WMOR,EA-113-047,113,,,,32,20,20,11300046,11300046,11300046,12800,100,EACH_PICK,true
WMOR,EA-113-048,113,,,,32,20,20,11300047,11300047,11300047,12800,100,EACH_PICK,true
WMOR,EA-113-049,113,,,,32,20,20,11300048,11300048,11300048,12800,100,EACH_PICK,true
WMOR,EA-113-050,113,,,,32,20,20,11300049,11300049,11300049,12800,100,EACH_PICK,true
WMOR,CS-113-001,113,,,,64,48,48,11301000,11301000,11301000,147456,100,CASE_PICK,true
WMOR,CS-113-002,113,,,,64,48,48,11301001,11301001,11301001,147456,100,CASE_PICK,true
WMOR,CS-113-003,113,,,,64,48,48,11301002,11301002,11301002,147456,100,CASE_PICK,true
WMOR,CS-113-004,113,,,,64,48,48,11301003,11301003,11301003,147456,100,CASE_PICK,true
WMOR,CS-113-005,113,,,,64,48,48,11301004,11301004,11301004,147456,100,CASE_PICK,true
WMOR,CS-113-006,113,,,,64,48,48,11301005,11301005,11301005,147456,100,CASE_PICK,true
WMOR,CS-113-007,113,,,,64,48,48,11301006,11301006,11301006,147456,100,CASE_PICK,true
WMOR,CS-113-008,113,,,,64,48,48,11301007,11301007,11301007,147456,100,CASE_PICK,true
WMOR,CS-113-009,113,,,,64,48,48,11301008,11301008,11301008,147456,100,CASE_PICK,true
WMOR,CS-113-010,113,,,,64,48,48,11301009,11301009,11301009,147456,100,CASE_PICK,true
WMOR,CS-113-011,113,,,,64,48,48,11301010,11301010,11301010,147456,100,CASE_PICK,true
WMOR,CS-113-012,113,,,,64,48,48,11301011,11301011,11301011,147456,100,CASE_PICK,true
WMOR,CS-113-013,113,,,,64,48,48,11301012,11301012,11301012,147456,100,CASE_PICK,true
WMOR,CS-113-014,113,,,,64,48,48,11301013,11301013,11301013,147456,100,CASE_PICK,true
WMOR,CS-113-015,113,,,,64,48,48,11301014,11301014,11301014,147456,100,CASE_PICK,true
WMOR,CS-113-016,113,,,,64,48,48,11301015,11301015,11301015,147456,100,CASE_PICK,true
WMOR,CS-113-017,113,,,,64,48,48,11301016,11301016,11301016,147456,100,CASE_PICK,true
WMOR,CS-113-018,113,,,,64,48,48,11301017,11301017,11301017,147456,100,CASE_PICK,true
WMOR,CS-113-019,113,,,,64,48,48,11301018,11301018,11301018,147456,100,CASE_PICK,true
WMOR,CS-113-020,113,,,,64,48,48,11301019,11301019,11301019,147456,100,CASE_PICK,true
WMOR,CS-113-021,113,,,,64,48,48,11301020,11301020,11301020,147456,100,CASE_PICK,true
WMOR,CS-113-022,113,,,,64,48,48,11301021,11301021,11301021,147456,100,CASE_PICK,true
WMOR,CS-113-023,113,,,,64,48,48,11301022,11301022,11301022,147456,100,CASE_PICK,true
WMOR,CS-113-024,113,,,,64,48,48,11301023,11301023,11301023,147456,100,CASE_PICK,true
WMOR,CS-113-025,113,,,,64,48,48,11301024,11301024,11301024,147456,100,CASE_PICK,true
WMOR,CS-113-026,113,,,,64,48,48,11301025,11301025,11301025,147456,100,CASE_PICK,true
WMOR,CS-113-027,113,,,,64,48,48,11301026,11301026,11301026,147456,100,CASE_PICK,true
WMOR,CS-113-028,113,,,,64,48,48,11301027,11301027,11301027,147456,100,CASE_PICK,true
WMOR,CS-113-029,113,,,,64,48,48,11301028,11301028,11301028,147456,100,CASE_PICK,true
WMOR,CS-113-030,113,,,,64,48,48,11301029,11301029,11301029,147456,100,CASE_PICK,true
WMOR,CS-113-031,113,,,,64,48,48,11301030,11301030,11301030,147456,100,CASE_PICK,true
WMOR,CS-113-032,113,,,,64,48,48,11301031,11301031,11301031,147456,100,CASE_PICK,true
WMOR,CS-113-033,113,,,,64,48,48,11301032,11301032,11301032,147456,100,CASE_PICK,true
WMOR,CS-113-034,113,,,,64,48,48,11301033,11301033,11301033,147456,100,CASE_PICK,true
WMOR,CS-113-035,113,,,,64,48,48,11301034,11301034,11301034,147456,100,CASE_PICK,true
WMOR,CS-113-036,113,,,,64,48,48,11301035,11301035,11301035,147456,100,CASE_PICK,true
WMOR,CS-113-037,113,,,,64,48,48,11301036,11301036,11301036,147456,100,CASE_PICK,true
WMOR,CS-113-038,113,,,,64,48,48,11301037,11301037,11301037,147456,100,CASE_PICK,true
WMOR,CS-113-039,113,,,,64,48,48,11301038,11301038,11301038,147456,100,CASE_PICK,true
WMOR,CS-113-040,113,,,,64,48,48,11301039,11301039,11301039,147456,100,CASE_PICK,true
WMOR,CS-113-041,113,,,,64,48,48,11301040,11301040,11301040,147456,100,CASE_PICK,true
WMOR,CS-113-042,113,,,,64,48,48,11301041,11301041,11301041,147456,100,CASE_PICK,true
WMOR,CS-113-043,113,,,,64,48,48,11301042,11301042,11301042,147456,100,CASE_PICK,true
WMOR,CS-113-044,113,,,,64,48,48,11301043,11301043,11301043,147456,100,CASE_PICK,true
WMOR,CS-113-045,113,,,,64,48,48,11301044,11301044,11301044,147456,100,CASE_PICK,true
WMOR,CS-113-046,113,,,,64,48,48,11301045,11301045,11301045,147456,100,CASE_PICK,true
WMOR,CS-113-047,113,,,,64,48,48,11301046,11301046,11301046,147456,100,CASE_PICK,true
WMOR,CS-113-048,113,,,,64,48,48,11301047,11301047,11301047,147456,100,CASE_PICK,true
WMOR,CS-113-049,113,,,,64,48,48,11301048,11301048,11301048,147456,100,CASE_PICK,true
WMOR,CS-113-050,113,,,,64,48,48,11301049,11301049,11301049,147456,100,CASE_PICK,true
WMOR,PA-113-001,113,,,,64,48,48,11302000,11302000,11302000,147456,100,PALLET_PICK,true
WMOR,PA-113-002,113,,,,64,48,48,11302001,11302001,11302001,147456,100,PALLET_PICK,true
WMOR,PA-113-003,113,,,,64,48,48,11302002,11302002,11302002,147456,100,PALLET_PICK,true
WMOR,PA-113-004,113,,,,64,48,48,11302003,11302003,11302003,147456,100,PALLET_PICK,true
WMOR,PA-113-005,113,,,,64,48,48,11302004,11302004,11302004,147456,100,PALLET_PICK,true
WMOR,PA-113-006,113,,,,64,48,48,11302005,11302005,11302005,147456,100,PALLET_PICK,true
WMOR,PA-113-007,113,,,,64,48,48,11302006,11302006,11302006,147456,100,PALLET_PICK,true
WMOR,PA-113-008,113,,,,64,48,48,11302007,11302007,11302007,147456,100,PALLET_PICK,true
WMOR,PA-113-009,113,,,,64,48,48,11302008,11302008,11302008,147456,100,PALLET_PICK,true
WMOR,PA-113-010,113,,,,64,48,48,11302009,11302009,11302009,147456,100,PALLET_PICK,true
WMOR,PA-113-011,113,,,,64,48,48,11302010,11302010,11302010,147456,100,PALLET_PICK,true
WMOR,PA-113-012,113,,,,64,48,48,11302011,11302011,11302011,147456,100,PALLET_PICK,true
WMOR,PA-113-013,113,,,,64,48,48,11302012,11302012,11302012,147456,100,PALLET_PICK,true
WMOR,PA-113-014,113,,,,64,48,48,11302013,11302013,11302013,147456,100,PALLET_PICK,true
WMOR,PA-113-015,113,,,,64,48,48,11302014,11302014,11302014,147456,100,PALLET_PICK,true
WMOR,PA-113-016,113,,,,64,48,48,11302015,11302015,11302015,147456,100,PALLET_PICK,true
WMOR,PA-113-017,113,,,,64,48,48,11302016,11302016,11302016,147456,100,PALLET_PICK,true
WMOR,PA-113-018,113,,,,64,48,48,11302017,11302017,11302017,147456,100,PALLET_PICK,true
WMOR,PA-113-019,113,,,,64,48,48,11302018,11302018,11302018,147456,100,PALLET_PICK,true
WMOR,PA-113-020,113,,,,64,48,48,11302019,11302019,11302019,147456,100,PALLET_PICK,true
WMOR,PA-113-021,113,,,,64,48,48,11302020,11302020,11302020,147456,100,PALLET_PICK,true
WMOR,PA-113-022,113,,,,64,48,48,11302021,11302021,11302021,147456,100,PALLET_PICK,true
WMOR,PA-113-023,113,,,,64,48,48,11302022,11302022,11302022,147456,100,PALLET_PICK,true
WMOR,PA-113-024,113,,,,64,48,48,11302023,11302023,11302023,147456,100,PALLET_PICK,true
WMOR,PA-113-025,113,,,,64,48,48,11302024,11302024,11302024,147456,100,PALLET_PICK,true
WMOR,EA-FRZ-001,121,,,,32,20,20,12100000,12100000,12100000,12800,100,EACH_PICK_FRZ,true
WMOR,EA-FRZ-002,121,,,,32,20,20,12100001,12100001,12100001,12800,100,EACH_PICK_FRZ,true
WMOR,EA-FRZ-003,121,,,,32,20,20,12100002,12100002,12100002,12800,100,EACH_PICK_FRZ,true
WMOR,EA-FRZ-004,121,,,,32,20,20,12100003,12100003,12100003,12800,100,EACH_PICK_FRZ,true
WMOR,EA-FRZ-005,121,,,,32,20,20,12100004,12100004,12100004,12800,100,EACH_PICK_FRZ,true
WMOR,EA-FRZ-006,121,,,,32,20,20,12100005,12100005,12100005,12800,100,EACH_PICK_FRZ,true
WMOR,EA-FRZ-007,121,,,,32,20,20,12100006,12100006,12100006,12800,100,EACH_PICK_FRZ,true
WMOR,EA-FRZ-008,121,,,,32,20,20,12100007,12100007,12100007,12800,100,EACH_PICK_FRZ,true
WMOR,EA-FRZ-009,121,,,,32,20,20,12100008,12100008,12100008,12800,100,EACH_PICK_FRZ,true
WMOR,EA-FRZ-010,121,,,,32,20,20,12100009,12100009,12100009,12800,100,EACH_PICK_FRZ,true
WMOR,EA-FRZ-011,121,,,,32,20,20,12100010,12100010,12100010,12800,100,EACH_PICK_FRZ,true
WMOR,EA-FRZ-012,121,,,,32,20,20,12100011,12100011,12100011,12800,100,EACH_PICK_FRZ,true
WMOR,EA-FRZ-013,121,,,,32,20,20,12100012,12100012,12100012,12800,100,EACH_PICK_FRZ,true
WMOR,EA-FRZ-014,121,,,,32,20,20,12100013,12100013,12100013,12800,100,EACH_PICK_FRZ,true
WMOR,EA-FRZ-015,121,,,,32,20,20,12100014,12100014,12100014,12800,100,EACH_PICK_FRZ,true
WMOR,EA-FRZ-016,121,,,,32,20,20,12100015,12100015,12100015,12800,100,EACH_PICK_FRZ,true
WMOR,EA-FRZ-017,121,,,,32,20,20,12100016,12100016,12100016,12800,100,EACH_PICK_FRZ,true
WMOR,EA-FRZ-018,121,,,,32,20,20,12100017,12100017,12100017,12800,100,EACH_PICK_FRZ,true
WMOR,EA-FRZ-019,121,,,,32,20,20,12100018,12100018,12100018,12800,100,EACH_PICK_FRZ,true
WMOR,EA-FRZ-020,121,,,,32,20,20,12100019,12100019,12100019,12800,100,EACH_PICK_FRZ,true
WMOR,EA-FRZ-021,121,,,,32,20,20,12100020,12100020,12100020,12800,100,EACH_PICK_FRZ,true
WMOR,EA-FRZ-022,121,,,,32,20,20,12100021,12100021,12100021,12800,100,EACH_PICK_FRZ,true
